##########  Generation 1  ##########

18)  3.125E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  2.8235296E-4  |  MJGCJGBFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
20)  2.0588236E-4  |  MJGCJABFLDCCEPKIGHCEDCCLGFBACOCNFOKKDOJG
21)  6.333333E-5  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
22)  2.1470588E-4  |  KKACJABFLGKJGDBMGLIBEHEKLNCDCOCNFOKKDOJG
23)  2.34375E-4  |  KKACJABFLGKJGDBMGLIKIMLOGFBACOCNFOKKDOJG
24)  3.1874998E-4  |  ANOLFGJKDPLABMPPGOGEAKEIIKPILHMGLHNKMHGF
25)  1.0666667E-4  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
26)  9.333333E-5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
27)  1.71875E-4  |  KEECILEKPLPBPPKIFLFOPHMDHJMGPMPDEMIOFPBO
28)  2.6764706E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
29)  2.9375E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
30)  2.6176468E-4  |  KDCMDGJKDPCHEMBMGHCEDCGOAHJOELHADFGICILP
Generation 4 Average Fitness: 1.9054125E-4

##########  Generation 5  ##########

1)  2.53125E-4  |  FJDGKPILBABMMHMLKNMKLLOEPKJBFLCMPGIJLKIE
2)  1.6666666E-4  |  JDKDAFCEHBELCIINMPKENJMBCBCOAGLJHJGAFLHD
3)  2.7222224E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
4)  3.3888887E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
5)  1.0666667E-4  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
6)  2.3333332E-5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
7)  2.2058823E-4  |  KEECILEKPLPBEHPPGOGEAGHOIKPILHJHFMIOFPBO
8)  2.1388888E-4  |  KKACJABFEKFCEPKIGHCEDCCLGFBACOCNFOKKDOJG
9)  3.1666664E-4  |  MJGCJGBFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
