##########  Generation 1  ##########

1)  -0.8  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
13)  16.6  |  CLOMDEMEAFFCDMBMGHGOBDFCLFBACOCNFOKKDOJG
14)  17.9  |  ANOLFGJKDGFKBCKMGOGEAGHOIKPILHMGLHNKMHGF
15)  19.4  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
16)  16.6  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
17)  19.8  |  CLOMDEMMLJLHEMCGBOGEAGHOLFBACOCDEHPIAADL
18)  22.3  |  ANOLFGJKLJLABMBMGHCEAGHOLFPILHMGLHNKMHGF
19)  22.8  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
20)  23.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
21)  17.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
22)  19.9  |  ANOLDEMMLJLABMBMGHGOBGHOIKPILHMGLHNKMHGF
23)  19.3  |  CLOMDEJKLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
24)  20.2  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
25)  19.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
26)  20.4  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
27)  17.9  |  ANOLFGJFLJLABMBMGHGOBDFCLKPILHMGLHNKMHGF
28)  19.4  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
29)  19.4  |  CLOMDEMMPGLKBMKMGHGOBDFCLFBACOCNFOKKDOJG
30)  14.8  |  KDCMDEMMPPCHEMCGBOFNPCGOAHJOELHADFGICILP
Generation 10 Average Fitness: 18.843332

##########  Generation 11  ##########

1)  19.0  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
2)  19.4  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
3)  19.9  |  ANOLFGJKPJLAEHCGBOGOBDFCLFBACOCGLHNKMHGF
4)  22.8  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
5)  19.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
6)  16.0  |  ANOLFGJKLJLABMBODHGOBGHOIKPILHMGLHNKMHGF
7)  18.7  |  CLOMDEMMPGKJGDKMGHCEAGHOLFBACOCNFOKKDOJG
8)  21.4  |  ANOLFGJKDJLAEHCMGOGEAGHOIKPILHMGLHNKMHGF
9)  23.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
10)  20.4  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
11)  18.8  |  CLOMDEMMPGLABMBMGHCEAGHOLFBACOCNFOKKDOJG
12)  19.9  |  CLOMDEMMPGFKBCKMGHCEAGHOLFBACOCNFOKKDOJG
13)  19.4  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
14)  21.1  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
15)  17.9  |  ANOLFGJFLJLABMBMGHGOBDFCLKPILHMGLHNKMHGF
16)  16.0  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
17)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
18)  16.6  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
19)  19.9  |  ANOLDEMMLJLABMBMGHGOBGHOIKPILHMGLHNKMHGF
20)  19.4  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
21)  19.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILLCGLHNKMHGF
22)  19.2  |  MNOLFGJKDPCDBMBGBOGEKBANFEPJGOBJMBOCGMAL
23)  19.8  |  CLOMDEMMLJLHEMCGBOGEAGHOLFBACOCDEHPIAADL
24)  19.3  |  CLOMDEJKLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
25)  19.4  |  CLOMDEMMPGLKBMKMGHGOBDFCLFBACOCNFOKKDOJG
26)  19.0  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
27)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
28)  22.3  |  ANOLFGJKLJLABMBMGHCEAGHOLFPILHMGLHNKMHGF
29)  20.2  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
30)  14.8  |  KDCMDEMMPPCHEMCGBOFNPCGOAHJOELHADFGICILP
Generation 11 Average Fitness: 19.28333

##########  Generation 12  ##########

1)  19.0  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
2)  21.4  |  ANOLFGJKDJLAEHCMGOGEAGHOIKPILHMGLHNKMHGF
3)  21.6  |  MNOLFGJKDPLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
4)  19.9  |  ANOLDEMMLJLABMBMGHGOBGHOIKPILHMGLHNKMHGF
5)  19.4  |  CLOMDEMMPGLKBMKMGHGOBDFCLFBACOCNFOKKDOJG
6)  21.1  |  CLOMDEMMLJLAEHCMGOGEAGHOIKPILHMJBFPJGMAL
7)  21.6  |  MNOLFGJKDJLAEHCGBOGEAGHOIKPJGOBJMBOCGMAL
8)  21.5  |  ANOLFGJKDJLAEHCMGOGEAGHOIKPILHMGLHNKMHGF
9)  21.9  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
10)  19.0  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
11)  26.3  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
12)  23.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
13)  21.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
14)  21.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
15)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
16)  22.8  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
17)  22.7  |  MNOLFGJKLJLABMCGBOGEKBANFEPJGOBJMBOCGMAL
18)  18.2  |  ANOLFGJKDPCABMBGGHGOAGHOIKPILHMGLHNKMHGF
19)  21.0  |  MNOLFGJKDJLABMBMGHCEAGHOLFPILHMGLHNKMHGF
20)  22.3  |  ANOLFGJKLJLABMBMGHCEAGHOLFPILHMGLHNKMHGF
21)  19.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
22)  20.7  |  CLOMDGJKLJLABMBMGHGEAGHOLFBACOCNFOKKDOJG
23)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
24)  21.1  |  CLOMDEMMLJLHEMCGBOGEAGHOIKPILHMGLHNKMHGF
25)  22.8  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
26)  16.0  |  ANOLFGJKLJLABMBODHGOBGHOIKPILHMGLHNKMHGF
27)  19.9  |  CLOMDEMMPGFKBCKMGHCEAGHOLFBACOCNFOKKDOJG
28)  17.3  |  CLOMDEMMPGFKBCCGBOCEAGHOLFBACOCNFOKKDOJG
29)  19.3  |  CLOMDEJKLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
30)  18.1  |  KNOLFGJKLPCHEMCGBOFNPCGOAHJOELHADFGICILP
Generation 12 Average Fitness: 20.556667

##########  Generation 13  ##########

1)  21.0  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
2)  21.6  |  MNOLFGJKDJLAEHCGBOGEAGHOIKPJGOBJMBOCGMAL
3)  21.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
4)  21.0  |  MNOLFGJKDJLABMBMGHCEAGHOLFPILHMGLHNKMHGF
5)  22.8  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
6)  21.4  |  ANOLFGJKDJLAEHCMGOGEAGHOIKPILHMGLHNKMHGF
7)  22.1  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
8)  21.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
9)  22.3  |  ANOLFGJKLJLABMBMGHCEAGHOLFPILHMGLHNKMHGF
10)  16.0  |  ANOLFGJKLJLABMBODHGOBGHOIKPILHMGLHNKMHGF
11)  24.3  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
12)  21.9  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
13)  18.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
14)  19.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
15)  19.9  |  CLOMDEMMPGFKBCKMGHCEAGHOLFBACOCNFOKKDOJG
16)  19.9  |  ANOLDEMMLJLABMBMGHGOBGHOIKPILHMGLHNKMHGF
17)  19.0  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
18)  22.8  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
19)  20.7  |  CLOMDGJKLJLABMBMGHGEAGHOLFBACOCNFOKKDOJG
20)  21.0  |  CLOMDEMMPGFKBCCGGHGEAGHOLFBACOCNFOKKDOJG
21)  19.4  |  CLOMDEMMPGLKBMKMGHGOBDFCLFBACOCNFOKKDOJG
22)  26.3  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
23)  22.7  |  MNOLFGJKLJLABMCGBOGEKBANFEPJGOBJMBOCGMAL
24)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
25)  19.3  |  CLOMDEJKLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
26)  21.1  |  CLOMDEMMLJLAEHCMGOGEAGHOIKPILHMJBFPJGMAL
27)  23.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
28)  22.1  |  ANOLFGJKDPCABMBGGHGOAGHOIKPILHMGLHNKMHGF
29)  21.1  |  CLOMDEMMLJLHEMCGBOGEAGHOIKPILHMGLHNKMHGF
30)  19.6  |  KNOLFGJKLJLAEHCMGOFNPCGOAHJOELHADFGICILP
Generation 13 Average Fitness: 21.073332

##########  Generation 14  ##########

1)  21.9  |  MNOLFGJKLJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
2)  22.4  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
3)  21.3  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
4)  20.7  |  CLOMDGJKLJLABMBMGHGEAGHOLFBACOCNFOKKDOJG
5)  21.0  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
6)  23.8  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
7)  21.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
8)  19.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
9)  21.0  |  CLOMDEMMPGFKBCCGGHGEAGHOLFBACOCNFOKKDOJG
10)  21.1  |  CLOMDEMMLJLAEHCMGOGEAGHOIKPILHMJBFPJGMAL
11)  24.2  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
12)  23.5  |  MNOLFGJKLJLABMBMGHCEAGHOLFPJGOBJMBOCGMAL
13)  19.9  |  CLOMDEMMPGFKBCKMGHCEAGHOLFBACOCNFOKKDOJG
14)  25.7  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
15)  23.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
16)  21.3  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
17)  22.3  |  MNOLFGJKLJLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
18)  21.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
19)  26.3  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
20)  22.1  |  ANOLFGJKDPCABMBGGHGOAGHOIKPILHMGLHNKMHGF
21)  22.8  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
22)  24.3  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
23)  19.0  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
24)  22.7  |  MNOLFGJKLJLABMCGBOGEKBANFEPJGOBJMBOCGMAL
25)  21.1  |  CLOMDEMMLJLHEMCGBOGEAGHOIKPILHMGLHNKMHGF
26)  21.4  |  ANOLFGJKDJLAEHCMGOGEAGHOIKPILHMGLHNKMHGF
27)  21.9  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
28)  22.8  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
29)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
30)  19.6  |  KNOLFGJKLJLAEHCMGOFNPCGOAHJOELHADFGICILP
Generation 14 Average Fitness: 21.959997

##########  Generation 15  ##########

1)  21.9  |  MNOLFGJKLJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
2)  21.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
3)  20.1  |  MNOLFGJKDJLAEHCGGHCEAGHOLFBACOBJMBOCGMAL
4)  26.3  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
5)  21.1  |  CLOMDEMMLJLHEMCGBOGEAGHOIKPILHMGLHNKMHGF
6)  22.4  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
7)  20.4  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
8)  25.7  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
9)  24.1  |  MNOLFGJKDJLABMBGGHGOABANFEPJGOBJMBOCGMAL
10)  21.4  |  ANOLFGJKDJLAEHCMGOGEAGHOIKPILHMGLHNKMHGF
11)  21.3  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
12)  22.2  |  MNOLFGJKDJLAEHCGBOGEAGHOLFBACOCNFOKKDMAL
13)  24.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
14)  22.8  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
15)  21.9  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
16)  20.7  |  CLOMDGJKLJLABMBMGHGEAGHOLFBACOCNFOKKDOJG
17)  23.7  |  CLOMDEMMLJLAEHCGBOGEKBANFEPJGHMJBFPJGMAL
18)  21.3  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
19)  24.3  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
20)  22.8  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
21)  21.0  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
22)  24.2  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
23)  23.9  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
24)  23.5  |  CLOMDEMMLJLABMBMKPGEKBHOFEPJGOBJMBOCGMAL
25)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
26)  23.8  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
27)  23.5  |  MNOLFGJKLJLABMBMGHCEAGHOLFPJGOBJMBOCGMAL
28)  21.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
29)  22.7  |  MNOLFGJKLJLABMCGBOGEKBANFEPJGOBJMBOCGMAL
30)  19.6  |  KNOLFGJKLJLAEHCMGOFNPCGOAHJOELHADFGICILP
Generation 15 Average Fitness: 22.436666

##########  Generation 16  ##########

1)  21.9  |  MNOLFGJKLJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
2)  24.0  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
3)  24.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
4)  24.3  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
5)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
6)  21.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
7)  25.7  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
8)  23.8  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
9)  23.4  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
10)  23.8  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
11)  21.8  |  MNOLFGJKDJLAEHCGGHCEAGHOLFBJGOBJMBOCGMAL
12)  24.1  |  MNOLFGJKDJLABMBGGHGOABANFEPJGOBJMBOCGMAL
13)  22.4  |  MNOLFGJKDJLAEHCGBOGEAGHNFEPJGOBJMBOCGMAL
14)  21.0  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
15)  23.5  |  MNOLFGJKLJLABMBMGHCEAGHOLFPJGOBJMBOCGMAL
16)  26.3  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
17)  21.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
18)  22.4  |  MNOLFGJKDJLABMBMGHGEAGHNFEPJGOBJMBOCGMAL
19)  25.3  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
20)  25.8  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
21)  21.1  |  CLOMDEMMLJLHEMCGBOGEAGHOIKPILHMGLHNKMHGF
22)  21.3  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
23)  23.7  |  CLOMDEMMLJLAEHCGBOGEKBANFEPJGHMJBFPJGMAL
24)  23.9  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
25)  22.7  |  MNOLFGJKLJLABMCGBOGEKBANFEPJGOBJMBOCGMAL
26)  22.4  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
27)  22.2  |  MNOLFGJKDJLAEHCGBOGEAGHOLFBACOCNFOKKDMAL
28)  21.3  |  ANOLFGJKLJLAEHCMGHCEAGHOLFPILHMGLHNKMHGF
29)  23.5  |  CLOMDEMMLJLABMBMKPGEKBHOFEPJGOBJMBOCGMAL
30)  19.6  |  KNOLFGJKLJLAEHCMGOFNPCGOAHJOELHADFGICILP
Generation 16 Average Fitness: 22.923332

##########  Generation 17  ##########

1)  21.9  |  MNOLFGJKLJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
2)  25.7  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
3)  22.4  |  MNOLFGJKDJLAEHCGBOGEAGHNFEPJGOBJMBOCGMAL
4)  25.3  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
5)  22.7  |  MNOLFGJKLJLABMCGBOGEKBANFEPJGOBJMBOCGMAL
6)  24.0  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
7)  23.8  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
8)  21.0  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
9)  25.8  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
10)  22.4  |  MNOLFGJKDJLAEHCGBOGEAGHOFEPJGOBJMBOCGMAL
11)  24.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
12)  23.4  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
13)  23.5  |  MNOLFGJKLJLABMBMGHCEAGHOLFPJGOBJMBOCGMAL
14)  21.1  |  CLOMDEMMLJLHEMCGBOGEAGHOIKPILHMGLHNKMHGF
15)  22.4  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOCNFOKKDMAL
16)  24.3  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
17)  23.8  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
18)  26.3  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
19)  22.8  |  MNOLFGJKDJLAEHCGBOGEAGHOIKPJGOBJMBOCGMAL
20)  23.9  |  ANOLFGJKLJLAEHCGBOGEKBHOFEPJGOMGLHNKMHGF
21)  18.9  |  CLOMDEMMPGLAEHCGBOGEKBHOFEPILHMNFOKKDOJG
22)  21.8  |  MNOLFGJKDJLAEHCGGHCEAGHOLFBJGOBJMBOCGMAL
23)  22.6  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
24)  24.4  |  CLOMDEJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
25)  23.5  |  CLOMDEMMLJLABMBMKPGEKBHOFEPJGOBJMBOCGMAL
26)  21.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
27)  24.1  |  MNOLFGJKDJLABMBGGHGOABANFEPJGOBJMBOCGMAL
28)  22.4  |  MNOLFGJKDJLABMBMGHGEAGHNFEPJGOBJMBOCGMAL
29)  23.9  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
30)  19.6  |  KNOLFGJKLJLAEHCMGOFNPCGOAHJOELHADFGICILP
Generation 17 Average Fitness: 23.12333

##########  Generation 18  ##########

1)  23.4  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
2)  24.5  |  MNOLFGJKLJLABMBMGHCEAGHOLFPJGOBJMBOCGMAL
3)  25.6  |  MNOLFGJKLJLABMCGBOGEAGHOLFPJGOBJMBOCGMAL
4)  22.8  |  MNOLFGJKDJLAEHCGBOGEAGHOIKPJGOBJMBOCGMAL
5)  23.5  |  CLOMDEMMLJLABMBMKPGEKBHOFEPJGOBJMBOCGMAL
6)  25.7  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
7)  21.0  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
8)  21.4  |  CLOMDEMMLJLHEMCGBOGEKBHOFEPJGOMGLHNKMHGF
9)  23.9  |  ANOLFGJKLJLAEHCGBOGEKBHOFEPJGOMGLHNKMHGF
10)  21.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
11)  25.4  |  MNOLFGJKDJLAEHCGBOGEAGHNFEPJGOBJMBOCGMAL
12)  25.8  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
13)  22.4  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOCNFOKKDMAL
14)  21.2  |  MNOLFGJKDJLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
15)  24.1  |  MNOLFGJKDJLABMBGGHGOABANFEPJGOBJMBOCGMAL
16)  25.3  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
17)  23.6  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
18)  24.3  |  MNOLFGJKDPLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
19)  21.8  |  MNOLFGJKDJLAEHCGGHCEAGHOLFBJGOBJMBOCGMAL
20)  22.4  |  MNOLFGJKDJLABMBMGHGEAGHNFEPJGOBJMBOCGMAL
21)  22.7  |  MNOLFGJKLJLABMCGBOGEKBANFEPJGOBJMBOCGMAL
22)  24.9  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
23)  24.1  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
24)  25.3  |  CLOMDEJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
25)  23.9  |  MNOLFGJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
26)  24.0  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
27)  25.3  |  MNOLFGJKDJLAEHCGBOGEKBHOFEPJGOBJMBOCGMAL
28)  26.3  |  MNOLFGJKDJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
29)  25.8  |  CLOMDEJKLJLAEHCGBOGEKBANFEPJGOBJMBOCGMAL
30)  21.8  |  KNOLFGJKLJLAEHCGGOFNPCGOAHJOELHADFGICILP
Generation 18 Average Fitness: 23.776665

