##########  Generation 1  ##########

21)  0.4  |  HLEPGHBFBPHIKHFOLFCILJHPJPKIMMACNLPHFFBN
22)  1.6  |  HMLIIKHLBNJEHNLNNKFFFDDMJBGPEOJBIKOKFHPG
23)  1.2  |  MAIKPBHCMONBCLOIIBEGMFMJCBLHNEOGBIMADIKI
24)  -0.6  |  LDGCPHPNKBJIBGNHHBPBCJMPFNBAAMIMAFOLHNFK
25)  12.8  |  KDAAJGDBEMCALMOAMLOGOANGLKPBCELBPPDIMALF
26)  10.7  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
27)  7.4  |  KDAAJGDBEBLICDECGJONFNMIJOBKPELBPPDIMALF
28)  0.9  |  AIACHFMILCOFKPACJGNDGHBDJOALDPJCMJMMLPBP
29)  15.5  |  FGBCHFGFEIEFNGJCLHEDKCKJKJCGCFLHDGJDAJLE
30)  1.2  |  NNGFPMOLIKMEMHNINGAEMCLMHNACKFOOFNJEKPBI
Generation 4 Average Fitness: 4.3766665

##########  Generation 5  ##########

1)  -0.9  |  DLMPDJINICNLKLMPHDMHIJNHFOPCOOJMPPODGJGH
2)  10.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
3)  -0.2  |  GBKDPHFADPDJFNNMGINMJCJIEJDOLHLLFEBOAAMC
4)  -0.1  |  BBNBGGCKDFNIFFAOOJFNNIFFHNHDNIPOAMOFKIJH
5)  16.1  |  FGBCHFGFEIEFNGJCLHMDKCKJKJCGCFLHDGJDAJLE
6)  13.1  |  FGBCHFGFEIEJPGHEIJFJMLKJKJCGCFLHDGJDAJLE
7)  0.8  |  BOONAKFEKHAKFOEKNHADBNOPOLJFBCFDPLMHLIDG
8)  8.5  |  KDAAJGDBEMCALMECMKHNFNMIJOBKPELBPPDIMALF
9)  5.3  |  FMFAMAGMGFDAIKBJMKHFEBIPAFPJFLJINCLEHJID
10)  14.5  |  FGBCHFGFEIEJPGHEIFFCOBDJKJCGCFLHDGJDAJLE
11)  15.8  |  FGBCHFGFEIEJPGHEIJMAKCKJKJCGCFLHDGJDAJLE
12)  3.9  |  BOONAKELMCOPCAJHICAPBNOPOLJFBCFDPLMHLIDG
13)  1.3  |  GHOPIHFBMLEMJJEIMFMEIOLGHHDDLAFPHKMKPENG
14)  0.2  |  ODFPGMPHNHPGODGFLPNDIBFONDOBDPBPCHIOIALD
15)  2.3  |  FOFBBIGGDAHKKKBJMKHFEBIPAFPALBLMDLEIIOPA
16)  0.9  |  NCMDJBBOMPECHCDNFNFMENJKILOAECDFCPPHKHKI
17)  7.3  |  MKIGDONODMMKLLPKPNLGMFMJCBEOBNFKEDPHJODH
18)  5.5  |  GHOPEKMLIGEMJJEIMFMEIOLGHHDDLAFPHKMKPENG
19)  8.1  |  KDAAJGDBEMCALMOAMLOIKCJFMALNEKGHIDKIMALF
20)  10.9  |  KDAAJGDBEMCALMECGFMNFNMIJOBKPELBPPDIMALF
21)  0.4  |  HLEPGHBFBPHIKHFOLFCILJHPJPKIMMACNLPHFFBN
22)  1.6  |  HMLIIKHLBNJEHNLNNKFFFDDMJBGPEOJBIKOKFHPG
23)  1.2  |  MAIKPBHCMONBCLOIIBEGMFMJCBLHNEOGBIMADIKI
24)  6.9  |  KDAAJGDBEMCALMOAMBPBCJJFMALNEKGHIDKIMALF
25)  12.8  |  KDAAJGDBEMCALMOAMLOGOANGLKPBCELBPPDIMALF
26)  10.7  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
27)  11.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
28)  0.9  |  AIACHFMILCOFKPACJGNDGHBDJOALDPJCMJMMLPBP
29)  15.5  |  FGBCHFGFEIEFNGJCLHEDKCKJKJCGCFLHDGJDAJLE
30)  14.2  |  FGBCHFGFEIEFNGJINGAEMCLJKJCGCFLHDGJDAJLE
Generation 5 Average Fitness: 6.6566668

##########  Generation 6  ##########

1)  -0.9  |  DLMPDJINICNLKLMPHDMHIJNHFOPCOOJMPPODGJGH
2)  10.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
3)  -0.2  |  GBKDPHFADPDJFNNMGINMJCJIEJDOLHLLFEBOAAMC
4)  16.1  |  FGBCHFGFEIEFNGJCLHMNKCKJKJCGCFLHDGJDAJLE
5)  16.1  |  FGBCHFGFEIEFNGJCLHMDKCKJKJCGCFLHDGJDAJLE
6)  16.0  |  FGBCHFGFEIEFNGJCLHMDKCKJKJCGCFLHDGJDAJLE
7)  0.8  |  BOONAKFEKHAKFOEKNHADBNOPOLJFBCFDPLMHLIDG
8)  8.5  |  KDAAJGDBEMCALMECMKHNFNMIJOBKPELBPPDIMALF
9)  5.7  |  FMFAMAGMGFEJPGHEIFFFEBIPAFPJFLJINCLEHJID
10)  14.5  |  FGBCHFGFEIEJPGHEIFFCOBDJKJCGCFLHDGJDAJLE
11)  15.8  |  FGBCHFGFEIEJPGHEIJMAKCKJKJCGCFLHDGJDAJLE
12)  3.9  |  BOONAKELMCOPCAJHICAPBNOPOLJFBCFDPLMHLIDG
13)  7.0  |  KDAAJGDBEMEMJJEIMFMEIOLFMALNEKGHIDKIMALF
14)  0.2  |  ODFPGMPHNHPGODGFLPNDIBFONDOBDPBPCHIOIALD
15)  2.3  |  FOFBBIGGDAHKKKBJMKHFEBIPAFPALBLMDLEIIOPA
16)  0.9  |  NCMDJBBOMPECHCDNFNFMENJKILOAECDFCPPHKHKI
17)  7.3  |  MKIGDONODMMKLLPKPNLGMFMJCBEOBNFKEDPHJODH
18)  12.4  |  GHOPEKMLIMMKLLPKPNLEIOLGHHDDLAFPHKMKPENG
19)  11.3  |  KDAAJGDBEMCALMOAMLOGKCJFMALNEKGHIDKIMALF
20)  10.9  |  KDAAJGDBEMCALMECGFMNFNMIJOBKPELBPPDIMALF
