##########  Generation 1  ##########

23)  10.2  |  KKACJABFLJLABMBMNFMEDCCLGFBACOCNFOKKDOJG
24)  14.8  |  ANOLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
25)  12.9  |  MJAOLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
26)  13.7  |  KDCOOLEKJPMDIPKIFLIKIMLOAHJOELHADFGICILP
27)  13.0  |  KKACJABFLJLABMBMGHCEIMLOGFBACOCNFOKKDOJG
28)  14.4  |  JDKDAFCEMDCGJIEDCDKHFOMBCBCOAGLJHJGAFLHD
29)  18.2  |  JDKLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
30)  14.3  |  KDCOOLEKJPMDIMCGBMKGNJMBCBCOAGLJHJGACILP
Generation 3 Average Fitness: 11.996665

##########  Generation 4  ##########

1)  12.4  |  CLOMDEMMPGMDIMCGBMMKLLONMPPFOOCDEHPIAADL
2)  0.2  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
3)  15.9  |  ANOLFGJKDCHCEAGJLMKALPCALIMHIKMGLHNKMHGF
4)  5.2  |  KEKECCIDMCHAMLPOMOCKNKDNNLOHKEKAIEHCAFCB
5)  12.9  |  MJAOLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
6)  13.9  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
7)  14.5  |  JDGNKHLBEBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
8)  14.7  |  ANOLFGJKDPCHEHPPKOGEAGHOIKPILHMGLHNKMHGF
9)  15.8  |  ANOLFGJKDPCHEHPPKOGEAGHOIKPILHMGLHNKMHGF
10)  13.7  |  KDCOOLEKJPMDIPKIFLIKIMLOAHJOELHADFGICILP
11)  13.0  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
12)  5.6  |  JDGGFMKAPAHJDCBFMCCJNJMBCBCOAGLJHJGAFLHD
13)  17.2  |  ANOLFGJKDIFKBOHOKOGEAGHOIKPILHMGLHNKMHGF
14)  16.0  |  MJAGLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
15)  13.0  |  KKACJABFLJLABMBMGHCEIMLOGFBACOCNFOKKDOJG
16)  13.1  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
17)  11.8  |  CLOMDEMMPGMDIMCGKOGEAGHOIKPILHMGLHPIAADL
18)  12.5  |  MJAOLNOIPJLABMKIFLIKIMLOGFMPICPJBFPJGMAL
19)  13.9  |  MJAGLNOIPIFABMKIFLIKIMHOIKPILHMGBFPJGMAL
20)  15.7  |  JDKDAFCEOCIDOBPPGOGEAGHOIKPOAGLJHJGAFLHD
21)  18.1  |  JDJEDFHDAFGAIMCGBMGEAGHOIKPILHMGLHNKMHGF
22)  19.6  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
23)  13.6  |  KKACJABFLJLABMKIFLIKIMLOGFBACOCNFOKKDOJG
24)  18.3  |  JDKLFGALOJIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
25)  18.2  |  JDKLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
26)  12.6  |  KDCOOLEKJPMDIMCGGHCHDEMBCBCOAGLJHJGACILP
27)  9.4  |  ANOLFGJKDPCHEHHABOOBEGHOIKPILHMGLHNKMHGF
28)  17.1  |  KKACJABFLJLABMBMNOGEAGHOIKPILHMGLHNKDOJG
29)  14.8  |  ANOLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
30)  14.3  |  KDCOOLEKJPMDIMCGBMKGNJMBCBCOAGLJHJGACILP
Generation 4 Average Fitness: 13.566667

##########  Generation 5  ##########

1)  17.3  |  JLOMDEMMPGIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
2)  14.5  |  JDGNKHLBEBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
3)  19.3  |  MJAGLGJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
4)  13.9  |  MJAGLNOIPIFABMKIFLIKIMHOIKPILHMGBFPJGMAL
5)  18.2  |  JDKLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
6)  16.9  |  ANOLFGJKDCHCEAGJLMKALPCALIMHIKMGLHNKMHGF
7)  18.2  |  ANOLFGJKDIFKBCKLGOGEAGHOIKPILHMGLHNKMHGF
8)  16.0  |  MJAGLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
9)  15.7  |  JDKDAFCEOCIDOBPPGOGEAGHOIKPOAGLJHJGAFLHD
10)  12.6  |  KDCOOLEKJPMDIMCGGHCHDEMBCBCOAGLJHJGACILP
11)  15.9  |  ANOLFGJKDCHCEAGJLMKALPCALIMHIKMGLHNKMHGF
12)  16.5  |  ANOLFGJKDPCHEHGJLMKALPCALIMHIKMGLHNKMHGF
13)  13.0  |  KKACJABFLJLABMBMGHCEIMLOGFBACOCNFOKKDOJG
14)  18.1  |  JDJEDFHDAFGAIMCGBMGEAGHOIKPILHMGLHNKMHGF
15)  12.1  |  ANOLFGJKDPCHEHHGBMGBEGHOIKPILHMGLHNKMHGF
16)  11.5  |  KKACJABFLJLABMPOMOCKAGHOIKPILHMGLHNKDOJG
17)  13.7  |  KDCOOLEKJPMDIPKIFLIKIMLOAHJOELHADFGICILP
18)  19.1  |  JDKDAGJKLJLABMKIFLIKIMMBCBCOAGLJHJGAFLHD
19)  19.6  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
20)  17.1  |  KKACJABFLJLABMBMNOGEAGHOIKPILHMGLHNKDOJG
21)  12.9  |  MJAOLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
22)  13.0  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
23)  17.5  |  CLOMDEBFLJLABMKIFLGEAGHOIKPILHMGLHPIAADL
24)  18.8  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
25)  17.1  |  ANOLFGALOCIABMBMNOGEAGHOIKPILHMGLHNKMHGF
26)  13.9  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
27)  8.5  |  JDGGFMKAPAHJDCBFMCKGNJMBCBCOAGLJHJGAFLHD
28)  15.7  |  JDKLFGALOJIDOBPPFLIKIMLOIKPILHMGLHNKMHGF
29)  18.3  |  JDKLFGALOJIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
30)  14.3  |  KDCOOLEKJPMDIMCGBMKGNJMBCBCOAGLJHJGACILP
Generation 5 Average Fitness: 15.64

##########  Generation 6  ##########

1)  17.3  |  JLOMDEMMPGIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
2)  18.9  |  JLOMDEMMPGIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
3)  20.9  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
4)  19.6  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
5)  17.1  |  ANOLFGALOCIABMBMNOGEAGHOIKPILHMGLHNKMHGF
6)  14.8  |  MJAGLGJKDIFKCAGBNMKGNJHOIKPILHMGBFPJGMAL
7)  16.8  |  MNOLFGJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
8)  18.1  |  JDJEDFHDAFGAIMCGBMGEAGHOIKPILHMGLHNKMHGF
9)  17.1  |  KKACJABFLJLABMBMNOGEAGHOIKPILHMGLHNKDOJG
10)  13.9  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
11)  19.3  |  MJAGLGJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
12)  18.1  |  JDKDAFCEOCIDOBKLGOGEAGHOIKPIAGLJHJGAFLHD
13)  15.5  |  JDJEDFHDAFGAIMCGBMGBEGHOIKPILHMGLHNKMHGF
14)  12.9  |  MJAOLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
15)  8.5  |  JDGGFMKAPAHJDCBFMCKGNJMBCBCOAGLJHJGAFLHD
16)  15.5  |  MJAGLGJKDIFKBCKIFLIKIMHOIKPILHMGBFPJGMAL
17)  15.0  |  ANOLOLEKJPMDIMCGGHCHDEMBCBCOAGLJHJGACILP
18)  14.6  |  KKACJABFLJLABMPOFLIKIMLOAHJOELHADFGICILP
19)  14.1  |  CLOMDEBFLJLABMKIFLGEAGHOIKPILHMGLHPIAADL
20)  15.7  |  JDKLFGALOJIDOBPPFLIKIMLOIKPILHMGLHNKMHGF
21)  18.2  |  JDKLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
22)  15.9  |  ANOLFGJKDCHCEAGJLMKALPCALIMHIKMGLHNKMHGF
23)  13.7  |  KDCOOLEKJPMDIPKIFLIKIMLOAHJOELHADFGICILP
24)  17.5  |  CLOMDEBFLJLABMKIFLGEAGHOIKPILHMGLHPIAADL
25)  18.3  |  JDKLFGALOJIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
26)  16.9  |  ANOLFGJKDCHCEAGJLMKALPCALIMHIKMGLHNKMHGF
27)  16.5  |  ANOLFGJKDPCHEHGJLMKALPCALIMHIKMGLHNKMHGF
28)  19.1  |  JDKDAGJKLJLABMKIFLIKIMMBCBCOAGLJHJGAFLHD
29)  19.3  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
30)  14.3  |  KDCOOLEKJPMDIMCGBMKGNJMBCBCOAGLJHJGACILP
Generation 6 Average Fitness: 16.446667

##########  Generation 7  ##########

1)  17.5  |  JLOMDEMMPGIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
2)  16.8  |  MNOLFGJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
3)  20.9  |  MNOLFGJKDIFKBCKLBMGBEGHOIKPILHMGBFPJGMAL
4)  17.1  |  JDKLFEBFLJLABMKIFOGEAGHOIKPILHMGLHNKMHGF
5)  18.3  |  JDKLFGALOJIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
6)  21.2  |  ANOLFGJKLJLABMKIFLGKIMLOGKPILHMGLHNKMHGF
7)  19.7  |  JLOMDEMMAFGAIMCGBMGEAGHOIKPILHMGLHNKMHGF
8)  15.9  |  JDJEDFHDAFGAIMCGBOGEAGHOIKPILHMGLHNKMHGF
9)  15.7  |  JDKLFGALOJIDOBPPFLIKIMLOIKPILHMGLHNKMHGF
10)  16.9  |  ANOLFGJKDCHCEAGJLMKALPCALIMHIKMGLHNKMHGF
11)  20.9  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
12)  18.3  |  ANOLFGJFLJLABMBMNOGEAGHOIKPILHMGLHNKMHGF
13)  13.2  |  JDGGFGALOCIJDCBFMCKGNJMBCBCOAGLJHJGAFLHD
14)  18.2  |  JDKLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
15)  16.5  |  ANOLFGJKDPCHEHGJLMKALPCALIMHIKMGLHNKMHGF
16)  19.6  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
17)  22.0  |  AJGLJABFLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
18)  16.1  |  MJAGLGJKDIFKEAGJLMIKIMHOIKPILHMGBFPJGMAL
19)  19.6  |  JDKDAGJKDCLABMKIFLIKIMMBCBCOAGLJHJGAFLHD
20)  19.5  |  JDOLFGJKLJLABMKIFLIKIMMBCBCOAGLJHJGAFLHD
21)  18.8  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
22)  19.3  |  MJAGLGJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
23)  15.8  |  MJALOLJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
24)  14.0  |  ADCOOLEKJJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
25)  21.3  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
26)  15.8  |  MJAGLGJKDIFKCAGBNMKGNJHOIKPILHMGBFPJGMAL
27)  18.1  |  JDKDAFCEOCIDOBKLGOGEAGHOIKPIAGLJHJGAFLHD
28)  18.5  |  JDKDAFCELJLABMPOFLIKIMLOIKPIAGLJHJGAFLHD
29)  17.5  |  CLOMDEBFLJLABMKIFLGEAGHOIKPILHMGLHPIAADL
30)  14.3  |  KDCOOLEKJPMDIMCGBMKGNJMBCBCOAGLJHJGACILP
Generation 7 Average Fitness: 17.909998

##########  Generation 8  ##########

1)  17.5  |  JLOMDEMMPGIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
2)  19.7  |  JLOMDEMMAFGAIMCGBMGEAGHOIKPILHMGLHNKMHGF
3)  16.7  |  JLOMDGALOCIJDCBFMCGEAGHOIKPILHMGLHNKMHGF
4)  19.6  |  JDKDAGJKDCLABMKIFLIKIMMBCBCOAGLJHJGAFLHD
5)  21.3  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
6)  20.6  |  MNOLFGJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
7)  15.9  |  JDJEDFHDAFGAIMCGBOGEAGHOIKPILHMGLHNKMHGF
8)  19.1  |  JDOLFGALOCLABMKIFLIKIMMBCBCOAGLJHJGAFLHD
9)  19.5  |  JDOLFGJKLJLABMKIFLIKIMMBCBCOAGLJHJGAFLHD
10)  15.8  |  MJAGLGJKDIFKCAGBNMKGNJHOIKPILHMGBFPJGMAL
11)  20.9  |  MNOLFGJKDIFKBCKLBMGBEGHOIKPILHMGBFPJGMAL
12)  18.2  |  JDKLFGALOJIDOCKLBMGBEGHOIKPILHMGLHNKMHGF
13)  17.3  |  ANOLFGJKDPCHEHKIFLIKIMLOGKPILHMGLHNKMHGF
14)  18.8  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
15)  18.1  |  JDKDAFCEOCIDOBKLGOGEAGHOIKPIAGLJHJGAFLHD
16)  17.1  |  JDKLFEBFLJLABMKIFOGEAGHOIKPILHMGLHNKMHGF
17)  16.9  |  ANOLFGJKDCHCEAGJLMKALPCALIMHIKMGLHNKMHGF
18)  20.9  |  AJGLJABFLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
19)  19.3  |  MJAGLGJKDIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
20)  18.5  |  JDKDAFCELJLABMPOFLIKIMLOIKPIAGLJHJGAFLHD
21)  18.3  |  JDKLFGALOJIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
22)  20.9  |  ANOLFGJKLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
23)  22.0  |  AJGLJABFLJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
24)  20.3  |  AJGLJABFLJLABMKLGOGEAGHOIKPILHMGLHNKMHGF
25)  17.5  |  CLOMDEBFLJLABMKIFLGEAGHOIKPILHMGLHPIAADL
26)  21.2  |  ANOLFGJKLJLABMKIFLGKIMLOGKPILHMGLHNKMHGF
27)  21.8  |  ANOLFGJKLJLABMKIFLGKIMLOGKPILHMGLHNKMHGF
28)  16.1  |  MJAGLGJKDIFKEAGJLMIKIMHOIKPILHMGBFPJGMAL
29)  14.0  |  ADCOOLEKJJLABMKIFLIKIMLOGKPILHMGLHNKMHGF
30)  14.4  |  KDCOOLEKJPMABMKIFLIKIMLOGKPOAGLJHJGACILP
Generation 8 Average Fitness: 18.606665

