##########  Generation 1  ##########

25)  11.5  |  JDKDAFCEHBEGCMHODPKPMHABCBCOAGLJHJGAFLHD
26)  13.8  |  ANOLFGJKDJOFCKGPHEFOPHMDIKPILHMGLHNKMHGF
27)  16.7  |  ANOLFGJKDPCHEKHAGOGEAGHOIKPILHMGLHNKMHGF
28)  17.3  |  KJGMJJGFLELABPHMFLIKDCCLGFBACOCNFOKKDOJG
29)  19.7  |  ANOLOGJKDPCABMBMGHCEDCCLGKPILHMGLHNKMHGF
30)  10.3  |  KDCOOLEEHBEGCMHODPKPMHNLAHJOELHADFGICILP
Generation 4 Average Fitness: 13.6033325

##########  Generation 5  ##########

1)  21.4  |  CLOMDEMMPJLABMCGBMMKLLOCLLAJLJCDEHPIAADL
2)  18.0  |  CLOMDAEALJLBEMBMGHMKLLOCLLAJLJCDEHPIAADL
3)  14.2  |  KJGMJJGFLELABMAPGOGEAGHLGFBACOCNFOKKDOJG
4)  18.4  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
5)  14.8  |  JDKMDEMMPGMDIMCGBMMPMHABCBCOAGLJHJGAFLHD
6)  14.8  |  KNOLFGJKDPCHEKHMHEFOPHMDIKPILHMGLHNKMHGF
7)  14.5  |  CLOMDEMMPGMDACAPGCMNKBAOIKPILHCDEHPIAADL
8)  15.8  |  KNOLFFFPLMMHAHAPGOGEAGHOIKPILHMAIEHCAFCB
9)  16.8  |  KJGMJJGFLELGJIGBNMKGNJMLGFBACOCNFOKKDOJG
10)  13.8  |  ANOLFGJKDJOFCKGPHEFOPHMDIKPILHMGLHNKMHGF
11)  17.7  |  ANOLOGJKDGCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
12)  17.5  |  ANOLFFFPLMMHACAPGCMNKBAOIKPILHMGLHNKMHGF
13)  14.7  |  ANOLFFFPLMMHACAPGHCOBDFOIKPILHMGLHNKMHGF
14)  17.0  |  ANOLFFHDAFGAEKHAGOGEAGHOIKPILHMGLHNKMHGF
15)  16.7  |  ANOLFGJKDPCHEKHAGOGEAGHOIKPILHMGLHNKMHGF
16)  19.9  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
17)  7.1  |  NEDGKPILKCCBACAPGCMNKBAOIKPILIKAEFIOOJPC
18)  13.6  |  CLKDAFCEHBELCAGAGOGEAGHOIKPILHMGLHNKMHGF
19)  17.1  |  ANOLFGJKDPCAEKHAGOGEAGHOIKPILHMGLHNKMHGF
20)  17.3  |  KJGMJJGFLELABPHMFLIKDCCLGFBACOCNFOKKDOJG
21)  18.0  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
22)  15.7  |  CLOMDEMMPGMDIMCGBMMODCCOIKPILHMGLHNKMHGF
23)  19.1  |  CLOMDEMMPGMDCKHAGOGEAGHOIKPILHMGLHNKMHGF
24)  17.4  |  KJGMJJGFLEFABMBMGHCEDCCLGKPACOCNFOKKDOJG
25)  19.7  |  ANOLOGJKDPCABMBMGHCEDCCLGKPILHMGLHNKMHGF
26)  15.1  |  CLOMDEMMPJLABMCGBMMKLDFCLLAJLJCDEHPIAADL
27)  15.7  |  CLOMDEMMPGMDIAGBNMKKLDFCLLAJLJCDEHPIAADL
28)  21.1  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
29)  18.0  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
30)  11.7  |  KDCOOLEEHBEGCMHOGHCEDCCLAHJOELHADFGICILP
Generation 5 Average Fitness: 16.420002

##########  Generation 6  ##########

1)  21.4  |  CLOMDEMMPJLABMCGBMMKLLOCLLAJLJCDEHPIAADL
2)  14.5  |  CLOMDEMMPGMDACAPGCMNKBAOIKPILHCDEHPIAADL
3)  17.6  |  ANOLFFFPLMMHACAAGOGEAGHOIKPILHMGLHNKMHGF
4)  19.0  |  ANOLFGJKDPCABMBMGHCEAGHOIKPILHMGLHNKMHGF
5)  19.7  |  ANOLOGJKDPCABMBMGHCEDCCLGKPILHMGLHNKMHGF
6)  18.6  |  CLOMDEMMPJLAEMBMGHMKLLOCLLAJLJCDEHPIAADL
7)  15.8  |  KNOLFFFPLMMHAHAPGOGEAGHOIKPILHMAIEHCAFCB
8)  17.8  |  AJGMJJGFLELABPHMGOGEAGHOIKPILHMGLHNKMHGF
9)  17.3  |  KJGMJJGFLELABPHMFLIKDCCLGFBACOCNFOKKDOJG
10)  15.1  |  CLOMDEMMPJLABMCGBMMKLDFCLLAJLJCDEHPIAADL
11)  16.8  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
12)  16.8  |  KJGMJJGFLELGJIGBNMKGNJMLGFBACOCNFOKKDOJG
13)  16.7  |  ANOLFGJKDPCHEKHAGOGEAGHOIKPILHMGLHNKMHGF
14)  18.0  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
15)  19.2  |  CLOMDEMMPGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
16)  18.4  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
17)  15.4  |  ANOLOGJKDPCHEHPPGOGOPHMDIKPILHMGLHNKMHGF
18)  19.9  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  20.5  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
20)  21.1  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
21)  14.8  |  JDKMDEMMPGMDIMCGBMMPMHABCBCOAGLJHJGAFLHD
22)  17.7  |  ANOLOGJKDGCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
23)  16.2  |  ANOLOGJKDPCHACAPGOGEAGHOIKPILHMGLHNKMHGF
24)  19.1  |  CLOMDEMMPGMDCKHAGOGEAGHOIKPILHMGLHNKMHGF
25)  18.0  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
26)  18.2  |  CLOMDEMMPJLHEKHMHEFOLLOCLLAJLJCDEHPIAADL
