##########  Generation 1  ##########

21)  55.1  |  JDKDAFCEHBELCAGBNPKECBLOHGNOAGLJHJGAFLHD
22)  68.0  |  MJGDAJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
23)  60.5  |  JDKDAFCEHBELCAGODPKPMHABCBCOAGLJHJGAFLHD
24)  81.4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
25)  51.0  |  FPHGFFFPLMMHACAPGMMKLLONMPPFOOJDEHPILKEF
26)  49.8  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  53.1  |  FOGKGCLEAGNLDMMIJIFKLPCALIMHIKKPEMIOFPBO
28)  58.9  |  JDKDAFCEHENLDMMMJICJIGPCCBCOAGLJHJGAFLHD
29)  61.8  |  KDOMDEMMAFGADGAMNHGOOCGOAHJOELHADFGICILP
30)  72.5  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
Generation 4 Average Fitness: 61.99667

##########  Generation 5  ##########

1)  77.7  |  ANOLFGJDPGMHEHPPGOGEAGHOIKPILHMGLHNKMHGF
2)  69.2  |  MJGMDEMMPGMDHLAMNFMAGEMPPODAPJCEJHGGPEEK
3)  71.9  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
4)  68.4  |  MJGMJJGFLENLDMMMJIFKLEMPPODAPJCEJHGGPEEK
5)  68.1  |  MJGMJJGOPGEKEMMMJIFKLEMPPODAPJCEJHGGPEEK
6)  63.2  |  ANOLFGJDMCCHEHPPGOGKKPNOIKPILHMGLHNKMHGF
7)  83.2  |  ANOLFGJDMCCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
8)  71.0  |  ANOLFGJDMCCHEMBPGOGEAGHOIKPILHMGLHNKMHGF
9)  71.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
10)  74.9  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  67.2  |  ANOLFGJDPOAAMLPOMNMEAGHOIKPILHMGLHNKMHGF
12)  82.5  |  ANOLFGJDMCCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
13)  87.2  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
14)  51.8  |  AEDHJJKJKEMAMIAMHENOIKLPCGECDLEJGEIEGNEI
15)  68.0  |  MJGMJJGFLENLBMBMGFMAGEMPPODAPJCEJHGGPEEK
16)  75.6  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
17)  86.3  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
18)  85.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  74.5  |  ANOLFGJKDPCHEHPPLCMNKBANFEPILHMGLHNKMHGF
20)  56.0  |  ODKDAFCEPEMAMIAMHENOIKLPCGECDLEJGHPGJCEC
21)  62.8  |  MJKDAJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
22)  75.7  |  MJGDAJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
23)  60.5  |  JDKDAFCEHBELCAGODPKPMHABCBCOAGLJHJGAFLHD
24)  81.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
25)  51.0  |  FPHGFFFPLMMHACAPGMMKLLONMPPFOOJDEHPILKEF
26)  66.3  |  FOGKGCLEAGKJGDDBPNMKLLONMPPFOOJDEHAACPCG
27)  53.1  |  FOGKGCLEAGNLDMMIJIFKLPCALIMHIKKPEMIOFPBO
28)  59.9  |  JDKDAFCEHENLDMMMJICJIGPCCBCOAGLJHJGAFLHD
29)  93.4  |  ANOLFGJKDPCHEHPPGHGEAGHOIKPILHMGLHNKMHGF
30)  75.8  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
Generation 5 Average Fitness: 71.11668

