##########  Generation 1  ##########

24)  68.1  |  KKALFGJKDPCHEHPPGOCEDCCLGFBACOCNFOKKDOJG
25)  67.5  |  JDKNGPMKBEBGCAGBNMKGNJMBCBCOAGLJHJGAFLHD
26)  2.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
27)  50.5  |  OBEJFNLEAGKJMMBMGHCEDCCLGFBACJOCKFMCEHLI
28)  48.8  |  OBEJFNLPOFLABMBMGHCEDCCLGFBACJOCKFMCEHLI
29)  81.4  |  ANOLFGGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
30)  46.6  |  KDCOOLEKJPJHEHPPGOJEAKEIAEEIELHADFGICILP
Generation 4 Average Fitness: 50.69

##########  Generation 5  ##########

1)  37.9  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  54.1  |  KKACJABFMBEABMBMGHCEDCCLGFBACOCNFOKKDOJG
3)  60.6  |  KEKECGJKDPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
4)  34.3  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
5)  67.5  |  JDKNGPMKBEBGCAGBNMKGNJMBCBCOAGLJHJGAFLHD
6)  47.4  |  DJEGEMMDJPIMONNIFKNOIKLPCGECDAMHMMMPECHL
7)  75.2  |  ANOLFGJKDPCHEHPPGOGKKGHOIKPILHMGLHNKMHGF
8)  72.1  |  ANOLFGJKDPCHEHAPLCMNKBANFEPJGOMGLHNKMHGF
9)  72.3  |  JDFOENGFMBELCAGBNMKNKBANFEPJGOMGHJGAFLHD
10)  2.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
11)  56.9  |  CLOMODGOPLPBIMCGBOGEAGHOIKPILHMGEHPIAADL
12)  90.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
13)  94.5  |  ANOLFGBFLJLABPKIFLIKIMLOIKPILHMGLHNKMHGF
14)  55.7  |  JDFOENGFMBELCAGBNHGONJMBCBCOAGLJHJGAFLHD
15)  50.5  |  OBEJFNLEAGKJMMBMGHCEDCCLGFBACJOCKFMCEHLI
16)  71.9  |  ANOLFGJKPOAAMHPPGOGEAGHOIKPILHMGLHNKMHGF
17)  61.4  |  FPDGFFFPLMMHACAPLCMNKBANFEPJGOBJMBOGLKEF
18)  53.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
19)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
20)  48.8  |  OBEJFNLPOFLABMBMGHCEDCCLGFBACJOCKFMCEHLI
21)  89.1  |  ANOLLNGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
22)  60.8  |  JDFOENGFMBEABMBMGMKGNJMBCBCOAGLJHJGAFLHD
23)  86.3  |  ANOLFGJKDPCHEHCGGOGNKBAOIKPILHMGLHNKMHGF
24)  68.7  |  ANOLGCLEAGKJGDDBPHCEDCCLGFBACOCNFOKKDOJG
25)  81.4  |  ANOLFGGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
26)  48.4  |  KKACJABFLJLABPBIFPGOBDFCLLBACOCNFOKKDOJG
27)  73.3  |  ANOLFGJKMPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
28)  93.2  |  ANOLFGJKDPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
29)  68.1  |  KKALFGJKDPCHEHPPGOCEDCCLGFBACOCNFOKKDOJG
30)  46.6  |  KDCOOLEKJPJHEHPPGOJEAKEIAEEIELHADFGICILP
Generation 5 Average Fitness: 60.79334

##########  Generation 6  ##########

1)  37.9  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  75.2  |  ANOLFGJKDPCHEHPPGOGKKGHOIKPILHMGLHNKMHGF
3)  94.5  |  ANOLFGBFLJLABPKIFLIKIMLOIKPILHMGLHNKMHGF
4)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
5)  81.4  |  ANOLFGGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
6)  54.1  |  KKACJABFMBEABMBMGHCEDCCLGFBACOCNFOKKDOJG
7)  82.8  |  ANOLFGJKDPCHEHPPGOGKKGHOIKPILHMGLHNKMHGF
8)  55.7  |  JDFOENGFMBELCAGBNHGONJMBCBCOAGLJHJGAFLHD
9)  86.5  |  ANOLLNGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  48.4  |  KKACJABFLJLABPBIFPGOBDFCLLBACOCNFOKKDOJG
11)  89.2  |  ANOLFGJKDPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
12)  72.3  |  JDFOENGFMBELCAGBNMKNKBANFEPJGOMGHJGAFLHD
13)  84.8  |  ANOLLNGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
14)  90.4  |  ANOLLNGFLJLABMPPGOGNKBCLGFBACOCNFOKKDOJG
15)  78.1  |  ANOLFGJKDPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
16)  77.1  |  ANOLFGJKDPCHEHPPFLIKIMLOIMPILHMGLHNKMHGF
17)  82.2  |  JDFOENGFMBELCKGPGHCHDEEKLNCDGOMGHJGAFLHD
18)  71.9  |  ANOLFGJKPOAAMHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  60.8  |  JDFOENGFMBEABMBMGMKGNJMBCBCOAGLJHJGAFLHD
20)  93.2  |  ANOLFGJKDPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
21)  67.5  |  JDKNGPMKBEBGCAGBNMKGNJMBCBCOAGLJHJGAFLHD
22)  83.2  |  ANOLFGGOPLPBIMCGBOGEAGHOIKPILHMGLHNKMHGF
23)  74.4  |  ANOLFFFPLPCHEHCGGOGNKBAOIKPILHMGLHNKMHGF
24)  86.3  |  ANOLFGJKDPCHEHCGGOGNKBAOIKPILHMGLHNKMHGF
25)  68.1  |  KKALFGJKDPCHEHPPGOCEDCCLGFBACOCNFOKKDOJG
26)  47.4  |  DJEGEMMDJPIMONNIFKNOIKLPCGECDAMHMMMPECHL
27)  90.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
28)  53.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
29)  68.7  |  ANOLGCLEAGKJGDDBPHCEDCCLGFBACOCNFOKKDOJG
30)  46.6  |  KDCOOLEKJPJHEHPPGOJEAKEIAEEIELHADFGICILP
Generation 6 Average Fitness: 70.093346

