##########  Generation 1  ##########

23)  17.0  |  KJGLJABFLJLABMBMGDKKNJMBCBCOAGLJHJKKDOJG
24)  4.9  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
25)  17.9  |  JDKCILEKPLPBEPKIFLMAGEMPPODAPJLJHJGAFLHD
26)  18.5  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
27)  16.2  |  KJGLJABFLJLABMBMGDKHFOAEGKOCKOCNFOKKDOJG
28)  15.7  |  ANOLFGMMPGMDIMCGBMMKKPNLIKPILHMGLHNKMHGF
29)  16.5  |  JDKDAFCEHBELCIEMNFMAGEMPPODAPJLJHJGAFLHD
30)  13.3  |  KDCOOLEKPIFKBCKLKMMNPCGOAHJOELHADFGICILP
Generation 5 Average Fitness: 14.05

##########  Generation 6  ##########

1)  19.8  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
2)  18.9  |  KJGLJABFLJLAKABGFOGEAGHOIKBACOCNFOKKDOJG
3)  12.5  |  KJGLJABFLJLABMBIFLIKIMLOIMMJGIDEFOKKDOJG
4)  12.7  |  JDKCILEKPLPBEPKABOOBEHJDKKILIELMEJGAFLHD
5)  17.9  |  JDKCILEKPLPBEPKIFLMAGEMPPODAPJLJHJGAFLHD
6)  21.4  |  JDKDAFCFLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
7)  23.2  |  JDKLFGJKLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
8)  11.5  |  JDKDAFCEHBEADGAMNHKHFOAEPBCOAGLJHJGGFDMA
9)  16.7  |  KJGLJABFLJLAKABIFLIKIMMCLFBACOCNFOKKDOJG
10)  18.5  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
11)  12.5  |  JDKDAFCFLJLAKACGBMMKDCCLGFBACOCNFJGAFLHD
12)  16.6  |  JDKDAFCEHBELCIEDCMAEAGHOIKPIAGLJHJGAFLHD
13)  17.7  |  KJGLJABFLJLABMBMFLIKIMCALIMHIKCNFOKKDOJG
14)  18.2  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
15)  16.2  |  KJGLJABFLJLABMBMGDKHFOAEGKOCKOCNFOKKDOJG
16)  12.8  |  KKACMAKILJLABMBIFLIKKMLOIMMJGOCNFOKKDOJG
17)  9.9  |  DJEGEMMDMCHCOKGPGHCHDEEKLNCDDAMHMMMPECHL
